Target,Ticker,Group,Feature,Mean_Abs_SHAP
Forward_Return_1d,BWXT,benchmark_set,Close,1.9954096783073972e-05
Forward_Return_1d,BWXT,benchmark_set,Volume,9.592877730343782e-06
Forward_Return_1d,BWXT,benchmark_set,Daily_Return,8.425987743039465e-06
Forward_Return_1d,BWXT,benchmark_set,Log_Return,1.4504521624298062e-05
Forward_Return_1d,BWXT,benchmark_set,MA_10,6.950874733901607e-06
Forward_Return_1d,BWXT,benchmark_set,MA_50,5.5235296156577915e-06
Forward_Return_1d,BWXT,benchmark_set,RSI,1.3786350361240648e-05
Forward_Return_1d,BWXT,benchmark_set,MACD,7.0821519645122546e-06
Forward_Return_1d,BWXT,benchmark_set,MACD_Signal,1.8665767877434244e-05
Forward_Return_1d,BWXT,benchmark_set,MACD_Histogram,9.837738941147232e-06
Forward_Return_1d,BWXT,benchmark_set,Realized_Volatility,3.616847347840065e-05
Forward_Return_1d,BWXT,benchmark_set,Sentiment_Index,6.0174182116770466e-05
Forward_Return_1d,BWXT,benchmark_set,Sentiment_Momentum,4.01101849208571e-05
Forward_Return_1d,CCJ,benchmark_set,Close,2.787398800874042e-05
Forward_Return_1d,CCJ,benchmark_set,Volume,2.7081853302424664e-05
Forward_Return_1d,CCJ,benchmark_set,Daily_Return,1.566654068936455e-05
Forward_Return_1d,CCJ,benchmark_set,Log_Return,2.8792708520841408e-05
Forward_Return_1d,CCJ,benchmark_set,MA_10,3.9018139410779577e-05
Forward_Return_1d,CCJ,benchmark_set,MA_50,2.2068419852933337e-05
Forward_Return_1d,CCJ,benchmark_set,RSI,6.80366695455297e-05
Forward_Return_1d,CCJ,benchmark_set,MACD,1.9442131990570374e-05
Forward_Return_1d,CCJ,benchmark_set,MACD_Signal,9.453283606119026e-05
Forward_Return_1d,CCJ,benchmark_set,MACD_Histogram,1.7223179054914448e-05
Forward_Return_1d,CCJ,benchmark_set,Realized_Volatility,2.8049832541909692e-05
Forward_Return_1d,CCJ,benchmark_set,Sentiment_Index,0.0001185618243621582
Forward_Return_1d,CCJ,benchmark_set,Sentiment_Momentum,0.00011758024287878101
Forward_Return_1d,CEG,benchmark_set,Close,1.5233187368201195e-05
Forward_Return_1d,CEG,benchmark_set,Volume,1.1018639404344999e-05
Forward_Return_1d,CEG,benchmark_set,Daily_Return,1.8622088519093235e-05
Forward_Return_1d,CEG,benchmark_set,Log_Return,9.693700494120265e-06
Forward_Return_1d,CEG,benchmark_set,MA_10,2.295750786227701e-05
Forward_Return_1d,CEG,benchmark_set,MA_50,2.474629812141879e-05
Forward_Return_1d,CEG,benchmark_set,RSI,6.74715341159739e-05
Forward_Return_1d,CEG,benchmark_set,MACD,1.5640584362758404e-05
Forward_Return_1d,CEG,benchmark_set,MACD_Signal,1.3792596738498865e-05
Forward_Return_1d,CEG,benchmark_set,MACD_Histogram,0.00014111039584877553
Forward_Return_1d,CEG,benchmark_set,Realized_Volatility,1.147382014891636e-05
Forward_Return_1d,CEG,benchmark_set,Sentiment_Index,4.0162243699468834e-05
Forward_Return_1d,CEG,benchmark_set,Sentiment_Momentum,8.776951150518447e-05
Forward_Return_1d,LAC,core_set,Close,8.399561233767327e-06
Forward_Return_1d,LAC,core_set,Volume,1.0823003537094775e-05
Forward_Return_1d,LAC,core_set,Daily_Return,1.2557907418184667e-05
Forward_Return_1d,LAC,core_set,Log_Return,1.2520440661587634e-05
Forward_Return_1d,LAC,core_set,MA_10,3.0465162121078342e-05
Forward_Return_1d,LAC,core_set,MA_50,2.4503642425797305e-05
Forward_Return_1d,LAC,core_set,RSI,3.667811761265153e-05
Forward_Return_1d,LAC,core_set,MACD,8.958819793795927e-06
Forward_Return_1d,LAC,core_set,MACD_Signal,1.6806870271092967e-05
Forward_Return_1d,LAC,core_set,MACD_Histogram,2.4971537359167612e-05
Forward_Return_1d,LAC,core_set,Realized_Volatility,2.342518208844185e-05
Forward_Return_1d,LAC,core_set,Sentiment_Index,0.00019380522692095896
Forward_Return_1d,LAC,core_set,Sentiment_Momentum,0.000553055876813169
Forward_Return_1d,LEU,core_set,Close,3.6722682199633554e-05
Forward_Return_1d,LEU,core_set,Volume,3.648318440665041e-05
Forward_Return_1d,LEU,core_set,Daily_Return,2.6342388328886235e-05
Forward_Return_1d,LEU,core_set,Log_Return,4.0396356861904553e-05
Forward_Return_1d,LEU,core_set,MA_10,3.676597227941009e-05
Forward_Return_1d,LEU,core_set,MA_50,5.304956358862373e-05
Forward_Return_1d,LEU,core_set,RSI,7.325362683187163e-05
Forward_Return_1d,LEU,core_set,MACD,4.2711925285935624e-05
Forward_Return_1d,LEU,core_set,MACD_Signal,9.605268256291608e-05
Forward_Return_1d,LEU,core_set,MACD_Histogram,7.575332160203968e-05
Forward_Return_1d,LEU,core_set,Realized_Volatility,0.00010884735153295412
Forward_Return_1d,LEU,core_set,Sentiment_Index,0.00011163048294508906
Forward_Return_1d,LEU,core_set,Sentiment_Momentum,0.00035431252310485725
Forward_Return_1d,LTBR,core_set,Close,1.6431005450607196e-05
Forward_Return_1d,LTBR,core_set,Volume,1.2690888650012202e-05
Forward_Return_1d,LTBR,core_set,Daily_Return,1.4729376791330263e-05
Forward_Return_1d,LTBR,core_set,Log_Return,1.9512286269130527e-05
Forward_Return_1d,LTBR,core_set,MA_10,1.3457504304603548e-05
Forward_Return_1d,LTBR,core_set,MA_50,4.396799996603553e-05
Forward_Return_1d,LTBR,core_set,RSI,0.00028148207496339975
Forward_Return_1d,LTBR,core_set,MACD,3.5068723833665366e-05
Forward_Return_1d,LTBR,core_set,MACD_Signal,4.4631938730992326e-05
Forward_Return_1d,LTBR,core_set,MACD_Histogram,2.1786804358523257e-05
Forward_Return_1d,LTBR,core_set,Realized_Volatility,2.4887245153821675e-05
Forward_Return_1d,LTBR,core_set,Sentiment_Index,2.223404520840614e-05
Forward_Return_1d,LTBR,core_set,Sentiment_Momentum,0.0003559543792392343
Forward_Return_1d,NNE,core_set,Close,2.7639850858702e-05
Forward_Return_1d,NNE,core_set,Volume,1.03900470451016e-05
Forward_Return_1d,NNE,core_set,Daily_Return,3.300670827360895e-05
Forward_Return_1d,NNE,core_set,Log_Return,9.796195938416509e-06
Forward_Return_1d,NNE,core_set,MA_10,1.9031548305650308e-05
Forward_Return_1d,NNE,core_set,MA_50,1.1976448991353818e-05
Forward_Return_1d,NNE,core_set,RSI,5.5404365923214533e-05
Forward_Return_1d,NNE,core_set,MACD,8.689660350939004e-06
Forward_Return_1d,NNE,core_set,MACD_Signal,1.3586660215771061e-05
Forward_Return_1d,NNE,core_set,MACD_Histogram,1.2998656146257844e-05
Forward_Return_1d,NNE,core_set,Realized_Volatility,1.0370338017964465e-05
Forward_Return_1d,NNE,core_set,Sentiment_Index,3.534355417586186e-05
Forward_Return_1d,NNE,core_set,Sentiment_Momentum,0.00010601046679479215
Forward_Return_1d,NXE,core_set,Close,9.843559130715725e-05
Forward_Return_1d,NXE,core_set,Volume,4.182846289818557e-05
Forward_Return_1d,NXE,core_set,Daily_Return,2.992906522828936e-05
Forward_Return_1d,NXE,core_set,Log_Return,1.6882990425612613e-05
Forward_Return_1d,NXE,core_set,MA_10,5.0872822905379205e-05
Forward_Return_1d,NXE,core_set,MA_50,1.975016628515792e-05
Forward_Return_1d,NXE,core_set,RSI,2.8546990436385227e-05
Forward_Return_1d,NXE,core_set,MACD,6.425123929980456e-05
Forward_Return_1d,NXE,core_set,MACD_Signal,4.64873852246749e-05
Forward_Return_1d,NXE,core_set,MACD_Histogram,0.00013002153639503862
Forward_Return_1d,NXE,core_set,Realized_Volatility,1.7608258424992683e-05
Forward_Return_1d,NXE,core_set,Sentiment_Index,3.5936942878599724e-05
Forward_Return_1d,NXE,core_set,Sentiment_Momentum,2.5695656303048454e-05
Forward_Return_1d,SMR,core_set,Close,7.134219804684052e-06
Forward_Return_1d,SMR,core_set,Volume,2.6960081019858614e-05
Forward_Return_1d,SMR,core_set,Daily_Return,1.3421468317538428e-05
Forward_Return_1d,SMR,core_set,Log_Return,9.578499436051105e-06
Forward_Return_1d,SMR,core_set,MA_10,3.068238597679533e-05
Forward_Return_1d,SMR,core_set,MA_50,7.320082538407079e-06
Forward_Return_1d,SMR,core_set,RSI,7.360752701477451e-05
Forward_Return_1d,SMR,core_set,MACD,1.5403850333467117e-05
Forward_Return_1d,SMR,core_set,MACD_Signal,1.3473747743028167e-05
Forward_Return_1d,SMR,core_set,MACD_Histogram,8.482840140875602e-06
Forward_Return_1d,SMR,core_set,Realized_Volatility,0.00011583545957837354
Forward_Return_1d,SMR,core_set,Sentiment_Index,3.1615915675880194e-05
Forward_Return_1d,SMR,core_set,Sentiment_Momentum,0.00010980955263925622
Forward_Return_5d,BWXT,benchmark_set,Close,2.0979921022250014e-05
Forward_Return_5d,BWXT,benchmark_set,Volume,4.480389594773081e-05
Forward_Return_5d,BWXT,benchmark_set,Daily_Return,3.140734647410318e-05
Forward_Return_5d,BWXT,benchmark_set,Log_Return,2.227719138109977e-05
Forward_Return_5d,BWXT,benchmark_set,MA_10,3.871206504099123e-05
Forward_Return_5d,BWXT,benchmark_set,MA_50,2.858785838490368e-05
Forward_Return_5d,BWXT,benchmark_set,RSI,9.792600885855976e-05
Forward_Return_5d,BWXT,benchmark_set,MACD,0.00012789543927612464
Forward_Return_5d,BWXT,benchmark_set,MACD_Signal,6.75947484569514e-05
Forward_Return_5d,BWXT,benchmark_set,MACD_Histogram,1.9640906463113468e-05
Forward_Return_5d,BWXT,benchmark_set,Realized_Volatility,8.463144439271457e-05
Forward_Return_5d,BWXT,benchmark_set,Sentiment_Index,0.0006139790326704825
Forward_Return_5d,BWXT,benchmark_set,Sentiment_Momentum,0.0001818769003316467
Forward_Return_5d,CCJ,benchmark_set,Close,3.293031631841226e-05
Forward_Return_5d,CCJ,benchmark_set,Volume,1.5468102245226766e-05
Forward_Return_5d,CCJ,benchmark_set,Daily_Return,2.41214824606474e-05
Forward_Return_5d,CCJ,benchmark_set,Log_Return,3.570930736070819e-05
Forward_Return_5d,CCJ,benchmark_set,MA_10,4.286333706842405e-05
Forward_Return_5d,CCJ,benchmark_set,MA_50,0.00011349206895543283
Forward_Return_5d,CCJ,benchmark_set,RSI,2.020310969420823e-05
Forward_Return_5d,CCJ,benchmark_set,MACD,0.0004982525145761098
Forward_Return_5d,CCJ,benchmark_set,MACD_Signal,3.0738928162215024e-05
Forward_Return_5d,CCJ,benchmark_set,MACD_Histogram,0.00011713264748461074
Forward_Return_5d,CCJ,benchmark_set,Realized_Volatility,0.00010376188934177736
Forward_Return_5d,CCJ,benchmark_set,Sentiment_Index,4.699557621023287e-05
Forward_Return_5d,CCJ,benchmark_set,Sentiment_Momentum,0.00021291489952115372
Forward_Return_5d,CEG,benchmark_set,Close,4.9437416388411484e-05
Forward_Return_5d,CEG,benchmark_set,Volume,2.788902686476486e-05
Forward_Return_5d,CEG,benchmark_set,Daily_Return,7.399603237233536e-05
Forward_Return_5d,CEG,benchmark_set,Log_Return,3.303998216562833e-05
Forward_Return_5d,CEG,benchmark_set,MA_10,3.774439544981172e-05
Forward_Return_5d,CEG,benchmark_set,MA_50,3.0163523011299196e-05
Forward_Return_5d,CEG,benchmark_set,RSI,5.737351935145425e-05
Forward_Return_5d,CEG,benchmark_set,MACD,3.3853202606779975e-05
Forward_Return_5d,CEG,benchmark_set,MACD_Signal,4.437638415978382e-05
Forward_Return_5d,CEG,benchmark_set,MACD_Histogram,0.00012780952617477567
Forward_Return_5d,CEG,benchmark_set,Realized_Volatility,5.249462499547917e-05
Forward_Return_5d,CEG,benchmark_set,Sentiment_Index,0.00012786070364655342
Forward_Return_5d,CEG,benchmark_set,Sentiment_Momentum,0.00018912709417957276
Forward_Return_5d,LAC,core_set,Close,2.938710081281254e-05
Forward_Return_5d,LAC,core_set,Volume,1.4328609246131101e-05
Forward_Return_5d,LAC,core_set,Daily_Return,2.7704746602469235e-05
Forward_Return_5d,LAC,core_set,Log_Return,3.673417801861286e-05
Forward_Return_5d,LAC,core_set,MA_10,8.710707553034167e-05
Forward_Return_5d,LAC,core_set,MA_50,0.0002074417238520887
Forward_Return_5d,LAC,core_set,RSI,5.106520272884705e-05
Forward_Return_5d,LAC,core_set,MACD,1.6893933618685897e-05
Forward_Return_5d,LAC,core_set,MACD_Signal,2.9102811631809728e-05
Forward_Return_5d,LAC,core_set,MACD_Histogram,1.871605059102614e-05
Forward_Return_5d,LAC,core_set,Realized_Volatility,2.990827581944462e-05
Forward_Return_5d,LAC,core_set,Sentiment_Index,0.00039605553424878586
Forward_Return_5d,LAC,core_set,Sentiment_Momentum,0.0001399986408298298
Forward_Return_5d,LEU,core_set,Close,0.00024112672539650286
Forward_Return_5d,LEU,core_set,Volume,0.00010358634188060197
Forward_Return_5d,LEU,core_set,Daily_Return,0.0001970178350293949
Forward_Return_5d,LEU,core_set,Log_Return,0.0001374530462462597
Forward_Return_5d,LEU,core_set,MA_10,0.00020177110387026287
Forward_Return_5d,LEU,core_set,MA_50,0.0003534046036078734
Forward_Return_5d,LEU,core_set,RSI,0.0007051422887792013
Forward_Return_5d,LEU,core_set,MACD,0.0009233591212927916
Forward_Return_5d,LEU,core_set,MACD_Signal,0.0005540149742173258
Forward_Return_5d,LEU,core_set,MACD_Histogram,0.0003054175480797619
Forward_Return_5d,LEU,core_set,Realized_Volatility,0.0006361917093531286
Forward_Return_5d,LEU,core_set,Sentiment_Index,0.0006175136493030608
Forward_Return_5d,LEU,core_set,Sentiment_Momentum,0.00018830207280860832
Forward_Return_5d,LTBR,core_set,Close,6.87937825534128e-05
Forward_Return_5d,LTBR,core_set,Volume,2.8676937452605087e-05
Forward_Return_5d,LTBR,core_set,Daily_Return,4.0123888532773876e-05
Forward_Return_5d,LTBR,core_set,Log_Return,2.8246350025721522e-05
Forward_Return_5d,LTBR,core_set,MA_10,4.4919611137174485e-05
Forward_Return_5d,LTBR,core_set,MA_50,3.1135370750543993e-05
Forward_Return_5d,LTBR,core_set,RSI,0.0005998625818981793
Forward_Return_5d,LTBR,core_set,MACD,6.642967932574423e-05
Forward_Return_5d,LTBR,core_set,MACD_Signal,0.00011896248539371713
